index,p_die
0,0.0395306775803107
1,0.0323610742989434
2,0.0251379521700582
3,0.0178609116921866
4,0.0105295503817064
5,0.00314346275058119
6,0.00274559704044575
7,0.00234757253401685
8,0.00194938916791554
9,0.00155104687873775
10,0.001152545603054
11,0.00114336334752285
12,0.00113418100758067
13,0.00112499858322646
14,0.00111581607445965
15,0.00110663348127948
16,0.0012129497903467
17,0.00131925478373418
18,0.00142554846264598
19,0.00153183082828667
20,0.00163810188186009
21,0.00181859754061431
22,0.00199906056723087
23,0.00217949096760961
24,0.00235988874764881
25,0.00254025391324608
26,0.00278489001422166
27,0.00302946611596189
28,0.00327398223318243
29,0.00351843838059474
30,0.00376283457290727
31,0.00407333605371574
32,0.00438374075920511
33,0.00469404871953782
34,0.00500425996486664
35,0.00531437452533545
36,0.0057001071184285
37,0.00608569012693971
38,0.00647112360887703
39,0.00685640762222572
40,0.00724154222494899
41,0.00772103256669832
42,0.00820029132040534
43,0.00867931859792403
44,0.00915811451105486
45,0.00963667917154387
46,0.0102426340213081
47,0.0108482181169539
48,0.0114534316853276
49,0.0120582749531367
50,0.0126627481469499
51,0.0134504874372345
52,0.0142375982358985
53,0.0150240810443791
54,0.0158099363637132
55,0.0165951646945383
56,0.0176542434484397
57,0.0187121816264899
58,0.0197689804570333
59,0.0208246411670914
60,0.0218791649823638
61,0.0233450152660316
62,0.0248086687689162
63,0.0262701287831992
64,0.0277293985961291
65,0.0291864814900275
66,0.0312405096576269
67,0.0332901919527877
68,0.0353355375704212
69,0.0373765556859844
70,0.0394132554555214
71,0.0422449041773011
72,0.0450682056732532
73,0.0478831845496007
74,0.0506898653400311
75,0.0534882725059108
76,0.057185976398183
77,0.0608692346014291
78,0.0645381035501116
79,0.0681926394582223
80,0.0718328983201441
81,0.0762216687539887
82,0.0805896872069819
83,0.0849370518033513
84,0.0892638602033514
85,0.0935702096054573
86,0.0981432704112256
87,0.102693259507133
88,0.107220293293074
89,0.111724487581691
90,0.116205957601333
91,0.120320904950108
92,0.124416693093377
93,0.12849341123645
94,0.132551148169299
95,0.136589992268486
96,0.139810339071115
97,0.143018674623659
98,0.14621504372568
99,0.149399491009647
100,0.15257206094156
101,0.154819600867953
102,0.157061179891374
103,0.159296813821269
104,0.161526518425158
105,0.163750309428739
106,0.165193498995647
107,0.166634197923516
108,0.168072410510661
109,0.169508141047977
110,0.170941393818956
111,0.610831165636863
