index,p_die
0,0.00674982836348026
1,0.00549225293070543
2,0.00423308525459232
3,0.00297232331916708
4,0.00170996510590404
5,0.000446008593721126
6,0.000404007486322411
7,0.000362004614043565
8,0.000319999976810426
9,0.000277993574548718
10,0.000235985407184391
11,0.000239039884780357
12,0.000242094353044231
13,0.000245148811976126
14,0.000248203261576152
15,0.000251257701844088
16,0.000267798257622132
17,0.000284338539741302
18,0.000300878548206374
19,0.000317418283021675
20,0.000333957744191871
21,0.000361110593341207
22,0.000388262704966946
23,0.000415414079089294
24,0.000442564715728122
25,0.000469714614903638
26,0.000507638812672462
27,0.000545561571520747
28,0.000583482891502896
29,0.00062140277267364
30,0.000659321215087383
31,0.000710364692938059
32,0.000761405563633133
33,0.000812443827305831
34,0.000863479484089158
35,0.000914512534116452
36,0.000984168593513357
37,0.00105381979650232
38,0.00112346614342207
39,0.00119310763461111
40,0.00126274427040796
41,0.00136220963148681
42,0.00146166508669909
43,0.00156111063703113
44,0.00166054628346968
45,0.00175997202700073
46,0.0019112989886122
47,0.00206260301000016
48,0.00221388409464229
49,0.00236514224601558
50,0.00251637746759659
51,0.0027622635943495
52,0.00300808910859107
53,0.00325385402526268
54,0.00349955835930205
55,0.00374520212564333
56,0.00416669637033129
57,0.00458801228975669
58,0.00500914995936541
59,0.0054301094545709
60,0.00585089085075519
61,0.00659659720521244
62,0.00734174420900302
63,0.00808633228169287
64,0.00883036184253372
65,0.00957383331046235
66,0.0108984134872365
67,0.0122212221915842
68,0.0135422617926444
69,0.0148615346563877
70,0.0161790431456206
71,0.0184624913555933
72,0.0207406396828066
73,0.0230135004282871
74,0.0252810858645107
75,0.027543408235469
76,0.0311988545785414
77,0.0348405601664169
78,0.03846857665034
79,0.0420829554873995
80,0.0456837479412576
81,0.0508249201064852
82,0.0559383953199156
83,0.0610243227928794
84,0.0660828509328631
85,0.0711141273478404
86,0.0771208713115813
87,0.0830887719963918
88,0.0890180805866617
89,0.0949090466424694
90,0.100761918110085
91,0.106405998307466
92,0.112014653357807
93,0.117588105607532
94,0.123126576007504
95,0.128630284121782
96,0.132939549931517
97,0.137227504727705
98,0.141494253901687
99,0.145739902323601
100,0.149964554344962
101,0.152762182309719
102,0.155550602749931
103,0.15832984596931
104,0.161099942171831
105,0.163860921462063
106,0.165491562617736
107,0.167119023691714
108,0.168743310885803
109,0.170364430389712
110,0.171982388381082
111,0.613410770884471
